"","month","naive_demand","demand","bayes_demand"
"1",1,0.223611111111111,3.61914720876549,1.11128230091028
"2",2,9.02422611036339,5317.6212758684,25.3120193677791
"3",3,15.4527777777778,3532.36687826203,40.4480655629011
"4",4,33.1989247311828,7101.77165904913,82.8737649675109
"5",5,31.9798387096774,4160.6981771876,80.1009472244721
"6",6,53.3541666666667,3414.27001002342,118.191271988447
"7",7,83.0806451612903,3205.35444293968,211.005441916964
"8",8,63.9445214979196,4744.17586216573,153.910260333999
"9",9,57.2083333333333,6303.32107304331,136.011406917164
"10",10,48.8972222222222,3734.75517508239,102.169745226774
"11",11,37.0927419354839,3836.53985640674,74.2206572069904
"12",12,43.5806451612903,4005.73027658943,90.131889379157
"13",13,45.9847222222222,4373.38744572697,96.3273007503313
"14",14,58.8117489986649,4106.24807343687,135.92134157439
