"","time_desc","naive_demand","demand","bayes_demand"
"1","EarlyMorning",17.3711059190031,969.122968687282,44.9883998534504
"2","Morning",24.0426948687818,1734.67883055571,70.486574345969
"3","EarlyAfternoon",50.7670054730258,2077.14357091529,145.669549519661
"4","Afternoon",64.2602579132474,4765.73344616331,199.779785125562
"5","Evening",68.1370701837023,3086.79849531732,213.718647801938
