"","time_desc","day_desc","desc","month","naive_demand","demand","bayes_demand"
"1","EarlyMorning","Weekday","EarlyMorningWeekday",1,0.0909090909090909,NA,0.178787154729084
"2","EarlyMorning","Weekday","EarlyMorningWeekday",2,2.59090909090909,934.865606878284,3.48398255489242
"3","EarlyMorning","Weekday","EarlyMorningWeekday",3,3.36507936507936,NA,4.10610539928973
"4","EarlyMorning","Weekday","EarlyMorningWeekday",4,9.76086956521739,NA,13.9210473722805
"5","EarlyMorning","Weekday","EarlyMorningWeekday",5,11.5238095238095,NA,16.9029323866319
"6","EarlyMorning","Weekday","EarlyMorningWeekday",6,11.8083333333333,NA,14.5371637456441
"7","EarlyMorning","Weekday","EarlyMorningWeekday",7,19.3478260869565,NA,28.8733251608369
"8","EarlyMorning","Weekday","EarlyMorningWeekday",8,14.5984848484848,344.507152649418,19.7537463009868
"9","EarlyMorning","Weekday","EarlyMorningWeekday",9,10.7857142857143,NA,13.2945179916148
"10","EarlyMorning","Weekday","EarlyMorningWeekday",10,11.8863636363636,NA,14.36596749522
"11","EarlyMorning","Weekday","EarlyMorningWeekday",11,6.98484848484849,846.497427684889,7.64042014044803
"12","EarlyMorning","Weekday","EarlyMorningWeekday",12,7.85606060606061,NA,8.86774771451418
"13","EarlyMorning","Weekday","EarlyMorningWeekday",13,9.29545454545454,NA,11.1417899456157
"14","EarlyMorning","Weekday","EarlyMorningWeekday",14,12.4393939393939,981.971338466058,16.4580105266848
"15","EarlyMorning","Weekend","EarlyMorningWeekend",1,0,0,0
"16","EarlyMorning","Weekend","EarlyMorningWeekend",2,8.16666666666667,NA,11.2041536053873
"17","EarlyMorning","Weekend","EarlyMorningWeekend",3,13.5740740740741,1584.87768441777,17.2356654842365
"18","EarlyMorning","Weekend","EarlyMorningWeekend",4,26.1666666666667,1878.45364141944,32.0627998818508
"19","EarlyMorning","Weekend","EarlyMorningWeekend",5,26.4166666666667,2764.12294907002,36.8847165478006
"20","EarlyMorning","Weekend","EarlyMorningWeekend",6,62.8541666666667,1716.25160669178,84.6410519475598
"21","EarlyMorning","Weekend","EarlyMorningWeekend",7,88.7083333333333,2440.96940651985,140.582924092666
"22","EarlyMorning","Weekend","EarlyMorningWeekend",8,52.2037037037037,NA,73.1516384166426
"23","EarlyMorning","Weekend","EarlyMorningWeekend",9,52.8166666666667,1771.4002506203,74.2608804672258
"24","EarlyMorning","Weekend","EarlyMorningWeekend",10,46.5833333333333,1091.80256249826,56.4065412797028
"25","EarlyMorning","Weekend","EarlyMorningWeekend",11,21.037037037037,NA,22.7679948095724
"26","EarlyMorning","Weekend","EarlyMorningWeekend",12,36.3888888888889,727.78301168769,44.3259393590628
"27","EarlyMorning","Weekend","EarlyMorningWeekend",13,38.0208333333333,3907.66581918848,47.7765223701473
"28","EarlyMorning","Weekend","EarlyMorningWeekend",14,47.0333333333333,2136.722521645,66.1100070667657
"29","Morning","Weekday","MorningWeekday",1,0.121212121212121,2.1280506755605,0.133153994169695
"30","Morning","Weekday","MorningWeekday",2,4.32575757575758,396.323389010262,5.84529571754021
"31","Morning","Weekday","MorningWeekday",3,8.6984126984127,906.84502047087,11.4135261974828
"32","Morning","Weekday","MorningWeekday",4,19.9565217391304,1212.96511594014,29.1474485526245
"33","Morning","Weekday","MorningWeekday",5,15.452380952381,741.306512972181,21.1855500925059
"34","Morning","Weekday","MorningWeekday",6,22.0416666666667,1081.70884375419,28.0960945041036
"35","Morning","Weekday","MorningWeekday",7,37.963768115942,1671.88833313956,56.4907363950557
"36","Morning","Weekday","MorningWeekday",8,38.3333333333333,1875.57265789154,58.2241435870185
"37","Morning","Weekday","MorningWeekday",9,32.3571428571429,874.163973818639,46.6768977244528
"38","Morning","Weekday","MorningWeekday",10,30.0909090909091,723.065384701047,41.7087119448951
"39","Morning","Weekday","MorningWeekday",11,21.3409090909091,497.721245451755,26.9015988659948
"40","Morning","Weekday","MorningWeekday",12,26.4924242424242,307.798784165255,34.7984256470197
"41","Morning","Weekday","MorningWeekday",13,33.4015151515151,977.473281770689,47.2537892053673
"42","Morning","Weekday","MorningWeekday",14,34.0714285714286,753.207192717308,48.4470395602525
"43","Morning","Weekend","MorningWeekend",1,0,0,0
"44","Morning","Weekend","MorningWeekend",2,6.66666666666667,587.797735003457,8.02414167989701
"45","Morning","Weekend","MorningWeekend",3,10.3518518518519,751.236281614506,12.1253540168391
"46","Morning","Weekend","MorningWeekend",4,17.4791666666667,2090.30845966219,20.0377124480465
"47","Morning","Weekend","MorningWeekend",5,18.6333333333333,660.436627558319,22.3739648615958
"48","Morning","Weekend","MorningWeekend",6,28.0208333333333,699.334061502981,32.2858092601252
"49","Morning","Weekend","MorningWeekend",7,42.125,643.470578745585,51.6325316091245
"50","Morning","Weekend","MorningWeekend",8,55.2888888888889,1943.09491880741,76.1486048365977
